Customer ID,TotalSpent,OrderCount,FirstInvoiceDate,LastInvoiceDate,CustomerLifespan,Recency,PurchaseFrequency
12357.0,11229.99,1,2010-11-16 10:05:00,2010-11-16 10:05:00,1,23,30.0
12380.0,4782.84,4,2010-02-15 12:05:00,2010-08-31 14:54:00,197,100,0.61
12409.0,12346.62,4,2010-05-23 15:21:00,2010-10-15 10:24:00,144,55,0.83
12415.0,19468.84,4,2010-06-30 08:30:00,2010-11-29 15:07:00,152,10,0.79
12431.0,4145.52,11,2010-01-15 09:04:00,2010-12-01 10:03:00,320,8,1.03
12433.0,7205.39,5,2010-08-20 09:23:00,2010-12-08 16:49:00,110,1,1.36
12435.0,6096.04,4,2009-12-02 13:58:00,2010-11-08 10:07:00,340,31,0.35
12437.0,6834.99,20,2009-12-02 16:24:00,2010-11-09 14:46:00,341,30,1.76
12454.0,12931.44,3,2010-10-14 17:33:00,2010-11-09 10:09:00,25,30,3.6
12471.0,17721.45,44,2009-12-07 10:41:00,2010-11-30 14:35:00,358,9,3.69
12472.0,10426.48,13,2009-12-14 10:49:00,2010-12-05 14:19:00,356,4,1.1
12474.0,4616.66,11,2010-02-11 09:41:00,2010-11-26 12:19:00,288,13,1.15
12476.0,6452.99,7,2010-07-26 09:04:00,2010-11-07 15:34:00,104,32,2.02
12477.0,7056.63,3,2010-03-26 14:01:00,2010-11-05 09:35:00,223,34,0.4
12481.0,6171.07,5,2010-04-11 13:10:00,2010-12-09 10:13:00,241,0,0.62
12482.0,21941.72,27,2010-02-24 10:24:00,2010-05-12 16:51:00,77,211,10.52
12490.0,3904.71,10,2009-12-01 12:52:00,2010-11-26 14:16:00,360,13,0.83
12497.0,5043.400000000001,2,2010-03-05 09:39:00,2010-11-04 12:31:00,244,35,0.25
12524.0,5848.39,9,2010-02-08 14:41:00,2010-11-16 09:08:00,280,23,0.96
12539.0,5618.400000000001,3,2009-12-23 13:00:00,2010-09-15 09:50:00,265,85,0.34
12540.0,7670.25,15,2009-12-07 16:56:00,2010-11-26 10:43:00,353,13,1.27
12557.0,6725.18,4,2009-12-17 10:39:00,2010-12-03 12:20:00,351,6,0.34
12567.0,3858.58,7,2010-02-11 10:30:00,2010-12-07 10:36:00,299,2,0.7
12583.0,6590.06,13,2009-12-06 11:57:00,2010-12-01 08:45:00,359,8,1.09
12621.0,10114.14,16,2010-02-09 12:01:00,2010-12-09 10:16:00,302,0,1.59
12643.0,4807.78,5,2010-04-07 14:16:00,2010-11-19 12:42:00,225,20,0.67
12647.0,11769.53,26,2010-01-13 15:06:00,2010-12-07 12:28:00,327,2,2.39
12668.0,6790.53,5,2010-01-31 15:45:00,2010-11-26 11:48:00,298,13,0.5
12678.0,16263.72,6,2010-01-07 16:46:00,2010-11-29 09:55:00,325,10,0.55
12681.0,15532.74,23,2009-12-13 13:31:00,2010-12-07 10:08:00,358,2,1.93
12682.0,10665.69,22,2009-12-01 09:28:00,2010-12-09 14:49:00,373,0,1.77
12705.0,4731.81,5,2010-06-24 09:51:00,2010-11-21 13:59:00,150,18,1.0
12709.0,20732.24,18,2009-12-09 13:49:00,2010-12-08 09:49:00,363,1,1.49
12714.0,8520.85,7,2009-12-04 10:00:00,2010-11-16 18:10:00,347,23,0.61
12731.0,6879.8,5,2010-03-02 09:23:00,2010-09-23 15:12:00,205,77,0.73
12744.0,4037.77,4,2010-04-27 16:19:00,2010-09-06 10:24:00,131,94,0.92
12747.0,5080.53,16,2009-12-07 13:23:00,2010-12-05 15:38:00,363,4,1.32
12748.0,19873.99,133,2009-12-04 17:31:00,2010-12-09 13:22:00,369,0,10.81
12755.0,5218.709999999999,10,2010-01-15 11:57:00,2010-12-09 10:44:00,327,0,0.92
12758.0,7111.650000000001,5,2009-12-01 14:40:00,2010-09-06 13:02:00,278,94,0.54
12823.0,4742.0,13,2010-01-29 12:52:00,2010-11-10 12:22:00,284,29,1.37
12835.0,6043.31,41,2009-12-03 12:13:00,2010-10-08 10:59:00,308,62,3.99
12836.0,3972.76,11,2009-12-01 14:19:00,2010-11-15 16:22:00,349,24,0.95
12839.0,4480.31,13,2009-12-07 09:18:00,2010-12-07 15:48:00,365,2,1.07
12843.0,4764.66,20,2009-12-13 11:41:00,2010-11-22 13:31:00,344,17,1.74
12867.0,3876.47,6,2009-12-16 16:25:00,2010-11-07 15:31:00,325,32,0.55
12913.0,4217.2300000000005,9,2009-12-01 12:18:00,2010-12-06 16:36:00,370,3,0.73
12921.0,19333.95,39,2009-12-01 13:43:00,2010-12-08 10:14:00,371,1,3.15
12931.0,50291.38,42,2009-12-01 11:46:00,2010-11-24 10:09:00,357,15,3.53
12939.0,13683.0,12,2010-01-12 11:27:00,2010-11-25 14:50:00,317,14,1.14
12949.0,11359.48,14,2009-12-03 15:56:00,2010-11-22 15:45:00,353,17,1.19
12957.0,4689.43,5,2009-12-11 12:01:00,2010-06-16 08:55:00,186,176,0.81
12971.0,4782.88,33,2009-12-15 19:04:00,2010-12-08 16:21:00,357,1,2.77
12980.0,8870.880000000001,12,2009-12-02 11:26:00,2010-11-18 14:31:00,351,21,1.03
12989.0,6627.64,18,2009-12-10 13:27:00,2010-10-11 12:36:00,304,59,1.78
13001.0,14353.28,20,2009-12-03 16:21:00,2010-10-31 13:14:00,331,39,1.81
13004.0,5994.94,18,2009-12-15 09:44:00,2010-11-18 19:08:00,338,21,1.6
13013.0,7814.83,18,2009-12-14 10:34:00,2010-12-03 12:29:00,354,6,1.53
13027.0,10423.2,13,2010-01-20 10:41:00,2010-11-19 15:51:00,303,20,1.29
13044.0,4293.43,10,2010-01-08 14:46:00,2010-08-04 16:27:00,208,127,1.44
13047.0,5557.62,17,2009-12-16 11:43:00,2010-12-01 08:35:00,349,8,1.46
13050.0,6402.19,18,2009-12-15 15:06:00,2010-12-08 09:30:00,357,1,1.51
