Customer ID,TotalSpent,OrderCount,FirstInvoiceDate,LastInvoiceDate,CustomerLifespan,Recency,PurchaseFrequency
12346.0,169.36,2,2010-03-02 13:08:00,2010-06-28 13:53:00,118,164,0.51
12347.0,1323.32,2,2010-10-31 14:20:00,2010-12-07 14:57:00,37,2,1.62
12348.0,221.16,1,2010-09-27 14:59:00,2010-09-27 14:59:00,1,73,30.0
12349.0,2221.14,2,2010-04-29 13:20:00,2010-10-28 08:23:00,181,42,0.33
12351.0,300.93,1,2010-11-29 15:23:00,2010-11-29 15:23:00,1,10,30.0
12352.0,343.8,2,2010-11-12 10:20:00,2010-11-29 10:07:00,16,10,3.75
12353.0,317.76,1,2010-10-27 12:44:00,2010-10-27 12:44:00,1,43,30.0
12355.0,488.21000000000004,1,2010-05-21 11:59:00,2010-05-21 11:59:00,1,202,30.0
12356.0,3126.25,3,2010-10-11 09:42:00,2010-11-24 12:24:00,44,15,2.05
12357.0,11229.99,1,2010-11-16 10:05:00,2010-11-16 10:05:00,1,23,30.0
12358.0,2519.01,3,2009-12-08 07:59:00,2010-11-29 10:56:00,356,10,0.25
12359.0,2563.36,6,2009-12-05 13:32:00,2010-10-10 11:16:00,308,60,0.58
12360.0,1310.83,3,2010-02-22 09:32:00,2010-11-12 11:31:00,263,27,0.34
12361.0,276.35,3,2010-01-26 14:37:00,2010-09-03 15:19:00,220,97,0.41
12366.0,500.24,1,2010-03-16 10:28:00,2010-03-16 10:28:00,1,268,30.0
12368.0,917.6999999999999,1,2010-03-21 15:56:00,2010-03-21 15:56:00,1,263,30.0
12369.0,1511.15,3,2010-03-08 08:09:00,2010-10-22 13:13:00,228,48,0.39
12370.0,534.62,3,2010-02-09 09:41:00,2010-03-25 12:10:00,44,259,2.05
12371.0,1819.42,3,2010-03-04 18:23:00,2010-10-26 13:37:00,235,44,0.38
12373.0,603.0500000000001,2,2010-02-04 12:08:00,2010-03-25 13:49:00,49,259,1.22
12374.0,2046.29,2,2010-04-30 14:01:00,2010-10-14 10:16:00,166,56,0.36
12376.0,383.15,2,2010-10-18 08:42:00,2010-11-15 12:15:00,28,24,2.14
12377.0,1718.2,2,2010-04-29 15:34:00,2010-11-23 19:24:00,208,16,0.29
12378.0,1407.7,1,2010-05-26 14:07:00,2010-05-26 14:07:00,1,197,30.0
12379.0,692.98,2,2010-06-23 12:49:00,2010-10-13 14:46:00,112,57,0.54
12380.0,4782.84,4,2010-02-15 12:05:00,2010-08-31 14:54:00,197,100,0.61
12385.0,1668.4,1,2010-11-25 15:14:00,2010-11-25 15:14:00,1,14,30.0
12386.0,258.9,1,2010-12-08 09:53:00,2010-12-08 09:53:00,1,1,30.0
12387.0,143.94,1,2010-10-20 16:27:00,2010-10-20 16:27:00,1,50,30.0
12388.0,1120.45,2,2010-05-06 12:54:00,2010-09-20 12:41:00,136,80,0.44
12389.0,1433.33,3,2010-02-22 10:15:00,2010-11-02 11:52:00,253,37,0.36
12391.0,2312.53,5,2010-02-15 10:12:00,2010-09-01 12:38:00,198,99,0.76
12392.0,234.75000000000003,1,2010-04-27 14:04:00,2010-04-27 14:04:00,1,226,30.0
12393.0,816.85,2,2010-10-07 13:49:00,2010-11-22 16:10:00,46,17,1.3
12395.0,1868.64,4,2010-04-16 10:16:00,2010-12-03 16:35:00,231,6,0.52
12396.0,931.43,1,2010-02-03 13:22:00,2010-02-03 13:22:00,1,309,30.0
12399.0,808.65,3,2010-03-05 08:45:00,2010-11-19 08:53:00,259,20,0.35
12400.0,205.25,1,2010-10-21 13:45:00,2010-10-21 13:45:00,1,49,30.0
12402.0,941.3,5,2010-02-07 12:41:00,2010-11-12 09:50:00,277,27,0.54
12403.0,555.6600000000001,1,2010-07-06 11:39:00,2010-07-06 11:39:00,1,156,30.0
12406.0,2975.06,3,2010-01-11 14:04:00,2010-11-05 11:42:00,297,34,0.3
